srcStateName,srcYear,Budget type,Total expenditure,Developmental expenditure,Social services,"Education, sports, art and culture",Medical and public health,Family welfare,Water supply and sanitation,Housing,Urban development,"Welfare of scheduled caste, scheduled tribes and other backward classes",Labour and labour welfare,Social security and welfare,Nutrition,Relief on account of natural calamities,Other social services,Economic services,Agriculture and allied activities,Crop husbandry,Soil and water conservation,Animal husbandry,Dairy development,Fisheries,Forestry and wild life,Plantations,Food storage and Warehousing,Agricultural research and education,Agricultural finance institutions,Cooperation,Other agricultural programmes,Rural development,Special area programmes,Irrigation and flood control,Major and medium irrigation,Minor irrigation,Flood control and drainage,Energy,Power,Industry and minerals,Village and small industries,Industries,Other industries,Transport and communications,Roads and bridges,Others means of transport and communications,"Science, technology and environment",General economic services,Secretariat services,Tourism,Civil supplies,Others general economic services,Non developmental expenditure,Organs of state,Fiscal services,Collection of taxes and duties,Other fiscal services,Interest payments and services of debt,Appropriation for reduction or avoidance of debt,Interest payments,Interest on loans from the centre,Interest on internal debt,Interest on market loans,Interest on National Food Security Food ( NSSF ),"Interest on small savings, provident funds, etc",Other interests on internal debt,Administrative services,Secretariat services,District administration,Police,Public works,Other administrative services,Pensions,Miscellaneous general services,Payment on account of state lotteries,Grants-in-aid and contributions,Compensation and assignments to local bodies and Panchayati Raj Institutions,"Transfers to road fund, education cess fund, etc",Reserve with finance department,YearCode,Year
MADHYA PRADESH,2011-12,Budget Estimates,5392349,3248539,2027733,1028999,210823,35208,63084,24638,103761,170018,19266,215679,91582,50987,13689,1220806,468415,140249,6778,58994,0,5695,135648,0,74999,6696,0,39355,0,347274,0,50475,40502,8731,0,168340,165501,41770,17910,23860,0,70602,70483,120,5387,68541,51785,2476,0,14281,1822045,70209,205158,204901,258,534218,0,534218,72333,382288,162593,165000,70847,8749,493258,15832,37794,240785,34281,164566,515805,3398,0,321765,321765,0,0,2011,"Financial Year (Apr - Mar), 2011"
MADHYA PRADESH,2011-12,Revised Estimates,5574410,3477912,2113133,1097460,222158,35156,61440,30711,100308,179991,20684,224134,88384,40003,12705,1364778,530550,151599,6079,59423,0,6821,143688,0,104380,8408,0,50152,0,367043,0,61850,42211,9182,0,191276,188437,68079,18228,49851,0,99675,99556,120,5838,40467,19350,3444,0,17673,1754373,78790,221121,220863,257,566673,0,566673,72333,414744,195010,165000,70847,8749,387766,16699,38498,241631,36098,54840,496805,3218,0,342125,342125,0,0,2011,"Financial Year (Apr - Mar), 2011"
MADHYA PRADESH,2011-12,Accounts,5269371,3326185,2029694,980889,211833,31304,59028,32298,89058,180968,16760,252286,103044,59859,12367,1296491,502990,138396,5273,55993,0,5487,125264,0,112721,8593,0,51263,0,292222,0,65410,56590,8542,278,207086,205823,120750,17981,102769,0,89188,89172,16,4684,14162,4278,3409,5379,1096,1622864,70654,226963,226791,171,529977,0,529977,66742,356709,166040,147476,105004,1521,353500,12449,33229,232597,31354,43871,438891,2879,0,320322,320322,0,0,2011,"Financial Year (Apr - Mar), 2011"
GOA,2011-12,Revised Estimates,617361,439156,229272,113506,40983,900,25566,1520,8736,3451,4279,26389,1003,677,2263,209883,24933,8580,219,3211,1474,3249,4391,0,2165,212,0,1317,115,10584,0,8555,2829,3625,1370,115695,115545,12100,5104,6496,500,27413,16381,11032,522,9175,1489,5203,419,2064,178206,8978,4718,4707,11,71629,3000,68629,3489,55786,24037,28000,7095,2260,41710,2552,2515,22100,7999,6545,50000,1170,53,0,0,0,0,2011,"Financial Year (Apr - Mar), 2011"
GOA,2011-12,Budget Estimates,604120,427016,229909,111646,37600,900,21759,1520,13736,3451,10095,26171,1003,266,1763,197106,21479,8080,219,2986,1474,2982,3001,0,1265,212,0,1145,115,10184,0,8039,2820,3418,1070,100495,100345,20794,3847,16446,500,25953,14981,10972,522,8734,1479,4803,419,2034,177104,6558,4675,4664,11,71629,3000,68629,3489,55786,24037,28000,7095,2260,43071,2482,4765,22100,7363,6362,50000,1170,53,0,0,0,0,2011,"Financial Year (Apr - Mar), 2011"
UTTAR PRADESH,2011-12,Accounts,12388517,6568316,4739094,2597504,437129,139878,89319,4843,95342,338244,44188,866451,0,111477,14719,1829221,365155,155347,61183,42722,4638,4807,36457,456,0,11951,0,46660,934,452951,6096,400932,269046,104533,7355,353554,348361,31972,21276,10610,87,194387,185741,8646,3066,21108,8180,1598,1612,9718,5294691,147562,281573,279792,1781,2410757,862661,1548095,144519,1133105,561235,520862,261647,8825,1039068,29161,44477,705823,104333,155274,1412706,3026,0,525510,525510,0,0,2011,"Financial Year (Apr - Mar), 2011"
UTTAR PRADESH,2011-12,Revised Estimates,12964554,7154992,5125927,2784387,462714,143362,86310,4821,150433,317549,65524,974666,0,113920,22242,2029065,450114,210494,81580,46458,4891,5918,36941,458,0,13638,0,48775,961,481457,0,480114,330823,100437,7637,352122,348680,40620,22508,18017,95,184126,175953,8173,3474,25698,10208,2075,1446,11969,5278737,176106,286672,284676,1996,2351378,860000,1491378,146562,1132921,547609,520863,202086,9808,1086295,31783,47596,706560,128367,171988,1374361,3926,1,530825,530825,0,0,2011,"Financial Year (Apr - Mar), 2011"
UTTAR PRADESH,2011-12,Budget Estimates,12579366,6793954,4909176,2722101,460930,143362,69010,4155,175132,315475,47120,906303,0,43448,22139,1884778,400305,188836,81580,46018,4891,5918,36631,458,0,8788,0,26222,963,406327,0,480114,330823,100437,7637,301942,298500,51091,21895,29101,95,184389,176000,8389,3424,25540,10083,2075,1446,11935,5254587,169603,283277,281381,1896,2376856,878602,1498253,146562,1140797,562979,512691,202086,8808,1046067,31649,47596,674465,126880,165477,1374361,4424,1,530825,530825,0,0,2011,"Financial Year (Apr - Mar), 2011"
MAHARASHTRA,2011-12,Budget Estimates,12144571,7663476,5655153,3094027,431130,55242,114689,290294,517400,554653,71822,229909,238452,44682,12851,2008324,585274,199622,3077,66298,53176,12813,107259,0,14921,55407,0,67004,5697,279887,0,256213,174540,75243,4087,340727,328449,68441,11366,57076,0,336363,306341,30022,7380,130031,58639,48622,0,22769,4395817,126824,157382,156886,496,1854814,100800,1754014,64498,1298190,493689,786614,213418,177907,1256078,28319,303819,640732,60118,223091,915592,85127,13949,85278,85278,0,0,2011,"Financial Year (Apr - Mar), 2011"
MAHARASHTRA,2011-12,Revised Estimates,12737152,8312201,5728258,3020361,475991,54659,107665,216086,479578,578402,80298,235067,242646,224246,13258,2583943,657412,230129,3055,70503,54475,11249,112801,0,7112,69024,0,94220,4845,275661,0,280994,187602,86865,4199,558044,547034,266561,10799,255763,0,412227,359554,52673,7366,121256,59458,42825,0,18973,4315517,143752,182087,181650,437,1831897,100800,1731097,62443,1314506,516939,797567,129454,224694,1167132,26767,341437,650157,72994,75777,981928,8721,7428,109434,109434,0,0,2011,"Financial Year (Apr - Mar), 2011"
MAHARASHTRA,2011-12,Accounts,12355419,7968096,5481221,2987881,448407,51756,109173,207248,427359,511663,72067,225504,228609,199993,11560,2486875,614521,216206,3193,62089,53670,10631,95518,0,15784,68465,0,85699,3266,252449,4386,270052,192768,71281,3835,552672,542021,254582,9218,245364,0,419924,375191,44733,6731,111558,54712,41602,0,15245,4285288,124896,166202,165841,361,1851263,100800,1750463,64242,1415760,570954,788765,244060,26401,1084839,16943,319294,603793,75198,69610,1050333,7756,6655,102035,108067,0,0,2011,"Financial Year (Apr - Mar), 2011"
